Mês ;Unidade;Prefeitura regional;Alvará;Processo;Descrição;Data autuação;SQL_Incra;Categoria de uso;Zona de uso atual;Zona de uso anterior;Bairro;Área da construção (m²);Proprietário;Área do terreno (m²);Endereço;Aprovação;Dirigente técnico;Responsável pela empresa;Autor do projeto;Responsável pela empresa;"(B)locos / 
(P)avimentos / 
(U)nidades"
Agosto;SMUL/SERVIN-3       ;PINHEIROS                     ;2017.16.256-00;2017-0.022.025-6;ALVARA DE APROVACAO E EXECUCAO DE REFORMA;06/02/2017;009.076.0016-6;NR2; ZEU;ZONA MISTA DE ALTA DENSIDADE - B.;JARDIM PAULISTA;1,05;CAMPINAPAR EMPREENDIMENTOS IMOBILIARIOS LTDA;520,00;AL  CAMPINAS 529 ;28/08/2017;CARLOS ALBERTO JUNQUEIRA FRANCO;;VALERIA OLIVA TAURINO;;B: 1 P: 6 U: 0
Agosto;SMUL/SERVIN-3       ;SANTO AMARO                   ;2017.16.009-00;2016-0.158.360-1;CERTIFICADO DE REGULARIZACAO;12/07/2016;087.313.0196-7;NR3; ZCP-A/003;ZONA DE CENTRALIDADE POLAR - A.;SANTO AMARO;;GTIS B20 EMPREENDIMENTOS IMOBILIARIOS LTDA;12.002,30;AV  DAS NACOES UNIDAS 17891 ;24/08/2017;JOAO RODRIGUES TEIXEIRA JUNIOR;;JOAO RODRIGUES TEIXEIRA JUNIOR;;
Agosto;SMUL/SERVIN-3       ;SE                            ;2014.17.897-02;2016-0.238.536-6;PROJETO MODIFICATIVO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;25/10/2016;010.037.0687-8;NR3-04; ZCL-B LINDEIRA A ZCP-B;Z8-CR3 LIND. Z3.;CONSOLACAO;21.885,51;BSP EMPREEMDIMENTOS IMOBILIARIOS D102 LTDA.;2.802,01;AV  ANGELICA 02529 ;01/08/2017;CARLOS TADASHI YAGYU;;AFLALO & GASPERINI ARQUITETOS LTDA;;B: 1 P: 12 U: 0
Agosto;SMUL/SERVIN-3       ;SE                            ;2017.12.564-01;2017-0.121.646-5;APOSTILAMENTO DE ALVARA DE APROVACAO E EXECUCAO DE REFORMA;01/08/2017;006.017.0827-1;"NR2; NR1";;ZONA DE CENTRALIDADE POLAR - B.;CENTRO;;SEBRAE/SP;829,50;R   VINTE E QUATRO DE MAIO 30 32;22/08/2017;;;;;
Agosto;SMUL/SERVIN-3       ;SE                            ;2017.15.412-00;2016-0.080.719-0;ALVARA DE APROVACAO E EXECUCAO DE REFORMA;05/04/2016;009.051.0104-9;NR1-04; ZEU;EIXOS DE ESTRUTURACAO DA TRANSFORMACAO ;BELA VISTA;103,27;CONSELHO REGIONAL DE ENFERMAGEM DE SAO PAULO;1.729,40;AL  RIBEIRAO PRETO 00082 ;16/08/2017;ADELCKE ROSSETTO NETTO;;ADELCKE ROSSETTO NETTO;;B: 1 P: 9 U: 0
Agosto;SMUL/SERVIN-3       ;VILA MARIANA                  ;2017.15.487-00;2013-0.332.416-0;ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;07/11/2013;041.088.0002-8;NR1-04; ZM-1;Z2.;INDIANOPOLIS;5.893,80;ARARAS INCORPORACAO LTDA;2.250,00;AL  JAUAPERI 00186 ;17/08/2017;MARCELO ERNESTO ZARZUR;;OCTAVIO DE SIQUEIRA FERREIRA;;B: 1 P: 3 U: 0
Agosto;SMUL/SERVIN-3       ;VILA MARIANA                  ;2017.16.579-00;2016-0.199.996-4;ALVARA DE APROVACAO E EXECUCAO DE REFORMA;01/09/2016;036.002.0473-4;NR1-04; ZEU;ZONA DE CENTRALIDADE POLAR - B.;JARDIM PAULISTA;45,36;CONDOMINIO EDIFICIO OLIVETTI                      ;1.841,40;AV  PAULISTA 453 4 E 5 ANDARES;31/08/2017;WAGNER FRANCO DE FARIA JUNIOR;;ALFREDO DEL BIANCO;;B: 1 P: 16 U: 0
Setembro;SGM/AJ              ;IPIRANGA                      ;2017.17.055-00;2003-1.039.647-2;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;29/10/2003;049.142.0012-0;"S1.1; C2.1";;Z2.;VILA DAS MERCES;;ARMANDO RODRIGUES FILHO E FLORENCIO RODRIGUES;356,20;R   NOSSA SENHORA DAS MERCES 1312 1314 A 1304;11/09/2017;;;;;
Setembro;SGM/AJ              ;PENHA                         ;2017.17.572-00;2004-1.014.474-2;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;27/12/2004;057.273.0014-2;R201;;  ;JD. MARINGA;;JOSE ANTONIO DA ROCHA;245,00;R   NERI DE BARCELOS 00359 ;19/09/2017;;;;;
Setembro;SGM/AJ              ;SANTANA/ TUCURUVI              ;2017.17.027-00;2003-1.055.370-5;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;21/11/2003;073.056.0018-0;C2.4; ZCP-A/004;Z2.;SANTANA;;RUBENS RAMOS E OUTRO;490,00;R   DUARTE DE AZEVEDO 414 ;11/09/2017;MARCUS VINICIUS AZEVEDO NAVARRO MONTEIRO;;;;
Setembro;SGM/AJ              ;VILA MARIANA                  ;2017.16.617-00;2003-1.006.201-9;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;13/08/2003;036.141.0030-8;;;Z8-CR1-I LIND. Z1.;IBIRAPUERA;;HELOU ADMINISTRAÇÃO E PARTICIPAÇÕES LTDA;427,63;R   MANUEL DA NOBREGA 01654 ;01/09/2017;;;;;
Setembro;SMUL                ;JABAQUARA                     ;2017.16.612-00;2003-1.034.885-0;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;08/10/2003;089.096.0079-9;S2.1;;Z2.;VL PAULISTA;;NEW WAY FRETES INTERNACIONAIS S/S LTDA;521,70;R   JORGE DUPRAT FIGUEIREDO 00500 512;01/09/2017;WALTER LUIZ RODRIGUES STANISCI;;;;
Setembro;SMUL                ;JABAQUARA                     ;2017.17.286-00;2004-0.155.894-7;RECONSIDERACAO DE DESPACHO DE ALVARA DE APROVACAO DE EDIFICACAO NOVA;23/06/2004;089.082.0066-5;R301; ZM-3A/008;Z2.;JABAQUARA;8.787,39;COMERCIAL E INC. FRESNO SA.;1.883,86;R   GASTAO DA CUNHA 00106 ;14/09/2017;CALIL SAIDE;;CALIL SAIDE;;B: 1 P: 21 U: 80
Setembro;SMUL                ;SE                            ;2017.18.376-00;2005-0.320.363-3;RECONSIDERACAO DE DESPACHO DE CERTIFICADO DE SEGURANCA;16/12/2005;006.009.0170-1;NR1-08; ZCP-B/005;Z5-002.;CENTRO;;APEOESP SIND DOS PROF ENSINO OF ESTADO S PAULO;;PC  DA REPUBLICA 282 ;28/09/2017;;;;;
Setembro;SMUL                ;VILA MARIANA                  ;2017.16.611-00;2003-1.054.197-9;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;21/11/2003;037.005.0073-4;E3.1;;Z2.;VILA MARIANA;;SOCIEDADE ANTIOQUINA DO BRASIL;760,07;R   CUBATAO 726 ;01/09/2017;DANIEL FERNANDEZ BLANCO;;;;
Setembro;SMUL/CEUSO          ;ARICANDUVA/ FORMOSA/ CARRAO     ;2017.17.112-00;2004-0.156.808-0;RECONSIDERACAO DE DESPACHO DE ALVARA DE APROVACAO E EXECUCAO DE REFORMA;24/06/2004;055.206.0009-0;NR2-03; ZM-3A;ZONA MISTA DE ALTA DENSIDADE - A.;V. FORMOSA;402,17;AMIR GAVIOLI;1.524,90;AV  DOUTOR EDUARDO COTCHING 00473 ;12/09/2017;CAIO TAVARES;;;;B: 1 P: 0 U: 0
Setembro;SMUL/CEUSO          ;CAMPO LIMPO                   ;2017.18.169-00;2012-0.083.416-6;RECONSIDERACAO DE DESPACHO DE CERTIFICADO DE REGULARIZACAO;21/03/2012;169.100.0011-1;R201;;Z2.;JD ANA MARIA;;MARIA  JOSE  BISPO  DOS  SANTOS E OUTROS;250,00;R   GUILHERME MAINARD 00361 E 365;26/09/2017;;;;;
Setembro;SMUL/COMIN-G        ;BUTANTA                       ;2017.18.073-00;2014-0.304.810-6;RECONSIDERACAO DE DESPACHO DE ALVARA DE APROVACAO DE REFORMA;28/10/2014;101.158.0014-9;NR1-02; ZM-1;Z2.;JD. PINHEIRO;370,98;MAURO RICCI;401,26;R   ARI APS 00178 ;25/09/2017;SANDRA MARIA VARGAS;;SANDRA MARIA VARGAS;;B: 1 P: 3 U: 0
Setembro;SMUL/COMIN-G        ;BUTANTA                       ;2017.18.082-00;2015-0.112.297-1;RECONSIDERACAO DE DESPACHO DE ALVARA DE APROVACAO DE EDIFICACAO NOVA;30/04/2015;101.508.0056-7;"NR1-02; NR1-03"; ZCP-A/001;Z2.;RIO PEQUENO;311,42;JOAO ALBERTO GALASSI;748,62;AV  OTACILIO TOMANIK 01581 ;25/09/2017;;;LAERCIO OLIVEIRA DA CONCEICAO;;
Setembro;SMUL/COMIN-G        ;PENHA                         ;2017.17.335-00;2015-0.232.708-9;RECONSIDERACAO DE DESPACHO DE ALVARA DE APROVACAO DE REFORMA;02/09/2015;059.177.0035-4;"NR1-02; NR2-03"; ZCP-A/005;Z3-083.;PENHA;372,90;EMILIA DOS SANTOS;1.010,90;R   FILIPE GALVAO 00589 ;14/09/2017;;;EDUARDO POSTIGO DOS SANTOS;;
Setembro;SMUL/COMIN-1        ;FREGUESIA/ BRASILANDIA         ;2017.16.931-00;2016-0.039.873-8;CERTIFICADO DE REGULARIZACAO;18/02/2016;307.042.0035-7;NR2-02; EETU;ZONA MISTA DE MEDIA DENSIDADE.;JD.MONTE ALEGRE;;COMPANHIA BRASILEIRA DE DISTRIBUICAO;3.044,93;AV  TOMAS RABELO E SILVA 2 ;06/09/2017;SERGIO ANTONIO MARRA;;;;
Setembro;SMUL/COMIN-1        ;ITAIM PAULISTA                ;2017.18.175-00;2015-0.057.820-3;ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;05/03/2015;134.166.0034-6;NR1-02; ZCP-B/001;ZONA DE CENTRALIDADE POLAR - B.;S M PAULISTA;2.583,24;DECIO MASSARELLI E ELIANA SHIZUYO MASSARELLI;1.231,02;R   DOUTOR DURVAL VILALVA 99999 VL SILVA TELLES;26/09/2017;SECUNDINO PIRES DOS SANTOS NETO;;SECUNDINO PIRES DOS SANTOS NETO;;B: 1 P: 4 U: 0
Setembro;SMUL/COMIN-1        ;LAPA                          ;2016.06.216-01;2017-0.054.794-8;APOSTILAMENTO DE ALVARA DE APROVACAO E EXECUCAO DE REFORMA;31/03/2017;098.018.0064-1;NR2-02; ZM-3A/003;Z6-015.;VILA ANASTACIO;852,85;HENRIQUE HAMMEL MATERIAIS ELETRICOS  LTDA;5.041,57;AV  EMBAIXADOR MACEDO SOARES 06206 ;15/09/2017;ERIC KIZELLEVICIUS;;ERIC KIZELLEVICIUS;;
Setembro;SMUL/COMIN-1        ;PINHEIROS                     ;2017.16.896-00;2016-0.237.640-5;ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;21/10/2016;016.137.0161-6;NR2; ZM;ZONA MISTA DE MEDIA DENSIDADE.;ITAIM BIBI;3.051,17;H R ROBINSON IMOVEIS LTDA;2.061,95;R   BANDEIRA PAULISTA 00982 ;05/09/2017;ARNALDO OSSE FILHO;;ARNALDO OSSE FILHO;;B: 1 P: 2 U: 1
Setembro;SMUL/COMIN-1        ;SANTO AMARO                   ;2015.09.106-01;2007-0.303.676-5;APOSTILAMENTO DE ALVARA DE APROVACAO DE EDIFICACAO NOVA;26/09/2007;086.154.0002-4;NR2-02; ZER-1/001;Z1-022.;BROOKLIN;6.516,19;COMPANHIA BRASILEIRA DE DISTRIBUICAO;8.033,87;AV  JORNALISTA ROBERTO MARINHO 000000 ;01/09/2017;SERGIO ANTONIO MARRA;;SERGIO ANTONIO MARRA;;B: 1 P: 3 U: 0
Setembro;SMUL/COMIN-1        ;SANTO AMARO                   ;2017.11.523-01;2007-0.303.676-5;APOSTILAMENTO DE ALVARA DE EXECUCAO DE EDIFICACAO NOVA;26/09/2007;086.154.0002-4;NR2-02; ZER-1/001;Z1-022.;BROOKLIN;;COMPANHIA BRASILEIRA DE DISTRIBUICAO;;AV  JORNALISTA ROBERTO MARINHO 000000 ;01/09/2017;;;;;
Setembro;SMUL/COMIN-1        ;SANTO AMARO                   ;2017.17.758-00;2016-0.251.676-2;ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;10/11/2016;090.038.0001-4;NR2-02; ZCOR-3;ZONA DE CENTRALIDADE LINEAR 1 EM ZER.;JARDIM MARAJOARA;4.115,57;COMERCIAL DOUGLAS DE PNEUMATICOS LTDA;4.140,28;AV  WASHINGTON LUIS 99999 8 A 10 QD T;20/09/2017;ELIAS SLEIMAN ROUMANOS;;ELIAS SLEIMAN ROUMANOS;;B: 1 P: 2 U: 0
Setembro;SMUL/COMIN-1        ;SE                            ;2017.16.900-00;2010-0.095.035-9;ALVARA DE APROVACAO E EXECUCAO DE REFORMA;06/04/2010;008.082.0045-3;NR1; ZEIS-3 / ZEIS-3/C016;ZONA DE CENTRALIDADE POLAR - B.;REPUBLICA;488,62;MARIA ISALTINA DE ALMEIDA PRADO;819,25;R   DOS ANDRADAS 00237 241 243 E 245;05/09/2017;JOAO CARLOS TOST GOMEZ;;;;B: 1 P: 4 U: 0
Setembro;SMUL/COMIN-1        ;SE                            ;2017.17.859-00;2016-0.213.533-5;ALVARA DE APROVACAO E EXECUCAO DE REFORMA;21/09/2016;001.051.0001-3;NR1-02; ZC;ZONA DE CENTRALIDADE POLAR - B.;CENTRO;;MATHILDE ZAHR CASSIA ADMINISTRACAO DE BENS LTDA;291,62;R   VINTE E CINCO DE MARCO 000904 912;21/09/2017;MARCELO MAURICIO NAHAS;;CLAUDIA SALLUM YAZBEK;;B: 1 P: 6 U: 0
Setembro;SMUL/COMIN-1        ;VILA MARIA/ VILA GUILHERME     ;2017.17.849-00;2010-0.308.474-1;ALVARA DE APROVACAO E EXECUCAO DE REFORMA;10/11/2010;304.148.0003-3;NR2-02; ZCP-A/004;ZONA DE CENTRALIDADE POLAR - A.;VILA GUILHERME;430,93;ESPOLIO DE SARAH VELARDO VELLOSO;6.907,66;R   AMAZONAS DA SILVA 22 ;21/09/2017;AGRIPINO DE MONTIER FERRAZ;;AGRIPINO DE MONTIER FERRAZ;;B: 1 P: 2 U: 0
Setembro;SMUL/COMIN-1        ;;2017.16.628-00;2015-0.254.238-9;ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;24/09/2015;6383580154407;NR2-03; ZONA NÃO DEFINIDA;ZONA NAO DEFINIDA.;COCAIA DA VARGINHA;347,88;CARLOS ALBERTO TADEU RODRIGUES;1.579,01;AV  PAULO GUILGUER REIMBERG 2090 ;01/09/2017;GUARACI CESAR PEREIRA POLENGHI;;GUARACI CESAR PEREIRA POLENGHI;;
Setembro;SMUL/COMIN-2        ;ARICANDUVA/ FORMOSA/ CARRAO     ;2017.17.516-00;2016-0.135.648-6;ALVARA DE APROVACAO E EXECUCAO DE REFORMA;14/06/2016;053.068.0009-2;IND-1A; ZM;ZONA MISTA DE ALTA DENSIDADE - A.;VILA FORMOSA;;JOANA MARIA BERTAGNA BRAGANHOLO;500,00;AV  MONTEMAGNO 01818 LT 10;18/09/2017;ALECIO MARCON;;EDISON TAKASHI YAMADA;;B: 1 P: 3 U: 1
Setembro;SMUL/COMIN-2        ;CAPELA DO SOCORRO             ;2017.17.661-00;2013-0.228.041-0;ALVARA DE APROVACAO E EXECUCAO DE REFORMA;12/08/2013;163.092.0003-7;"NR2-03; NR1-02"; ZCLP/008 LINDEIRA A ZM-P;ZONA DE CENTRALIDADE LINEAR DE PROTECAO;SANTO AMARO;123,30;MARIA APARECIDA REIMBERG;2.294,75;AV  SENADOR TEOTONIO VILELA 02631 ;19/09/2017;JOSE RUBBO NETO;;JOSE RUBBO NETO;;B: 1 P: 0 U: 0
Setembro;SMUL/COMIN-2        ;LAPA                          ;2016.13.498-01;2015-0.158.734-6;APOSTILAMENTO DE AUTO DE REGULARIZACAO;18/06/2015;078.418.0013-4;NR2-24; ZPI/003;Z6-007.;VL JAGUARA;;OPHTHALMOS S.A.;8.735,81;AV  MANOEL MONTEIRO DE ARAUJO 01051 ;21/09/2017;;;;;
Setembro;SMUL/COMIN-2        ;MOOCA                         ;2017.16.680-00;2011-0.168.617-7;ALVARA DE APROVACAO DE EDIFICACAO NOVA;17/06/2011;028.001.0009-5;NR2-03; ZM-3A;ZONA MISTA DE ALTA DENSIDADE - A.;MOOCA               ;304,00;NORMA SCHIAVONI MARTINS;339,47;PC  CIRO PONTES 001031                     ;01/09/2017;LUIZ ROBERTO CONSTANCIO DE SOUZA;;LUIZ ROBERTO CONSTANCIO DE SOUZA;;
Setembro;SMUL/COMIN-2        ;MOOCA                         ;2017.16.765-00;2011-0.168.617-7;ALVARA DE EXECUCAO DE EDIFICACAO NOVA;17/06/2011;028.001.0009-5;NR2-03; ZM-3A;ZONA MISTA DE ALTA DENSIDADE - A.;MOOCA               ;;NORMA SCHIAVONI MARTINS;;PC  CIRO PONTES 001031                     ;04/09/2017;LUIZ ROBERTO CONSTANCIO DE SOUZA;;LUIZ ROBERTO CONSTANCIO DE SOUZA;;
Setembro;SMUL/COMIN-2        ;SE                            ;2017.17.438-00;2014-0.239.870-7;ALVARA DE APROVACAO E EXECUCAO DE REFORMA;27/08/2014;034.015.0005-8;NR2-03; ZM-3A/003;Z2.;CAMBUCI;165,58;GIUSEPPE MINERVINO;481,83;R   DA INDEPENDENCIA 00196 ;15/09/2017;JOSE CARLOS ABIAD;;JOSE CARLOS ABIAD;;B: 1 P: 2 U: 1
Setembro;SMUL/COMIN-2        ;VILA MARIANA                  ;2014.08.122-01;2017-0.087.072-2;APOSTILAMENTO DE ALVARA DE APROVACAO E EXECUCAO DE REFORMA;26/05/2017;041.204.0020-4;NR2-03;;Z3-187.;MOEMA;215,29;CHIBLY MICHEL HADDAD;1.066,00;AV  IBIRAPUERA 03000 ;12/09/2017;EVANDRO LUIZ DE MELLO FORTUNATO;;REGINA PENTEADO DE TOLEDO;;B: 1 P: 2 U: 0
Setembro;SMUL/COMIN-3        ;LAPA                          ;2017.17.995-00;2016-0.242.166-4;ALVARA DE APROVACAO E EXECUCAO DE REFORMA;28/10/2016;022.006.0713-1;NR2-02; ZM;Z8-CR4 LIND. Z2.;AGUA BRANCA;181,83;CGD EMPREENDIMENTOS S/A;8.315,85;AV  FRANCISCO MATARAZZO 001090 ;22/09/2017;EDUARDO LIMA MAUAD;;FELIPPE JOSE CRESCENTI FILHO;;B: 1 P: 2 U: 0
Setembro;SMUL/COMIN-3        ;MOOCA                         ;2017.13.061-01;2012-0.178.822-2;APOSTILAMENTO DE ALVARA DE APROVACAO DE EDIFICACAO NOVA;22/06/2012;017.088.0126-1;"NR2-02; NR3-04"; ZM-3A;Z2.;BRAS;10.297,60;EACAS-PARTICIPACOES LTDA;2.195,26;R   JOAO TEODORO 1331 ;04/09/2017;;;;;B: 0 P: 7 U: 0
Setembro;SMUL/COMIN-3        ;MOOCA                         ;2017.18.285-00;2004-0.140.559-8;ALVARA DE EXECUCAO DE REFORMA;04/06/2004;026.054.0015-8;NR3-03; ZEIS-3/L014;Z6-020.;BELENZINHO;;ABRILBENS ADMINISTRACAO DE BENS PROPRIOS LTDA;;R   LOPES COUTINHO 00315 ;27/09/2017;DALVA MOREIRA DOS SANTOS SOUBIHE;;DALVA MOREIRA DOS SANTOS SOUBIHE;;
Setembro;SMUL/GTEC           ;ARICANDUVA/ FORMOSA/ CARRAO     ;2017.18.142-00;2003-1.026.399-5;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;24/09/2003;116.372.0110-8;S2.2;;Z2.;VILA ANTONIETA;;INDUSTRIA E COMERCIO DE BRINDES E ACESSORIOS LTD;1.000,00;R   CORONEL JOAO DE OLIVEIRA MELO 00200 210;26/09/2017;;;;;
Setembro;SMUL/GTEC           ;BUTANTA                       ;2017.16.960-00;2003-1.058.490-2;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;24/11/2003;082.367.0066-6;S2.1;;Z2.;BUTANTA;;LAIS SECCO DE FELICE;796,40;R   JOSE PIRAGIBE 00036 ;06/09/2017;GEOTER ENGENHARIA E CONSTRUCOES EIRELI;NELSON SECCO DE FELICE;;;
Setembro;SMUL/GTEC           ;CASA VERDE/ CACHOEIRINHA       ;2017.17.318-00;2003-1.043.044-1;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;11/11/2003;076.178.0168-8;"C1.1; S2.8";;Z6-005.;FREGUESIA DO O;;RAIZEN COMBUSTÍVEIS S.A. E OUTROS;3.964,49;AV  INAJAR DE SOUZA 550 ;14/09/2017;RICARDO FRATIC BACIC JUNIOR;;;;
Setembro;SMUL/GTEC           ;CIDADE ADEMAR                 ;2017.17.772-00;2003-1.061.640-5;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;24/11/2003;173.343.0035-0;E2.5;;Z11-026.;VILA MISSIONARIA;;CONGREGACAO MISSIONARIAS DA IMACULADA;7.870,40;R   FREI FRANCISCO FERREIRA 00042 ;20/09/2017;ANKI MARIA JOSEFA LANGERMANS;;;;
Setembro;SMUL/GTEC           ;GUAIANASES                    ;2017.17.963-00;2003-1.013.347-1;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;09/09/2003;115.341.0065-1;C2.4;;Z2.;GUAIANAZES;;CREUZA MADALENA LOPES VARGAS;2.182,20;R   COUTINHO E MELO 33 93;22/09/2017;ROBERTO SEPULVEDA JUNIOR;;;;
Setembro;SMUL/GTEC           ;IPIRANGA                      ;2017.15.702-01;2003-1.032.253-3;APOSTILAMENTO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;30/09/2003;302.003.0025-0;S2.8;;Z2.;IPIRANGA;;F.G.L.B.P. - PARTICIPAÇÕES E EMPREENDIMENTOS LTDA;923,79;R   MANIFESTO 01381 E 1387;06/09/2017;;;;;
Setembro;SMUL/GTEC           ;IPIRANGA                      ;2017.16.959-00;2003-1.007.885-3;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;20/08/2003;040.125.0009-0;C2.7;;Z3-169.;IPIRANGA;;FUNDACAO NOSSA SENHORA AUXILIADORA DO IPIRANGA;720,39;R   GAMA LOBO 01163 ;06/09/2017;EDSON BERNINI;;;;
Setembro;SMUL/GTEC           ;IPIRANGA                      ;2017.16.962-00;2003-1.013.008-1;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;09/09/2003;049.006.0016-4;"R201; C1.1";;Z3-185.;VILA FIRMIANO PINTO;;MINORU KITAYAMA E OUTROS;446,00;R   VERGUEIRO 07162 7164 E 7166;06/09/2017;;;;;
Setembro;SMUL/GTEC           ;JABAQUARA                     ;2017.16.965-00;2003-1.021.173-1;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;19/09/2003;091.075.0123-4;"S2.8; S2.7";;Z2.;SAUDE;;ROD  ROMAN;1.152,00;AV  EUCLIDES 71   85;06/09/2017;MARCUS VINICIUS AZEVEDO NAVARRO MONTEIRO;;;;
Setembro;SMUL/GTEC           ;JABAQUARA                     ;2017.17.673-00;2002-0.223.851-9;RECONSIDERACAO DE DESPACHO DE CERTIFICADO DE REGULARIZACAO;23/09/2002;089.172.0080-1;C2.8;;Z2.;VILA SANTA CATARINA;;PIACE PARTICIPAÇÕES LTDA;2.145,66;AV  SANTA CATARINA 1850 ;19/09/2017;JOSE CARLOS ABIAD;;;;
Setembro;SMUL/GTEC           ;LAPA                          ;2017.17.312-00;2003-1.024.737-0;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;23/09/2003;023.012.0045-0;"C2.3; C1.2";;Z4-066.;LAPA;;RENATA CORAZZA;1.202,75;R   CLEMENTE ALVARES 00031 51;14/09/2017;HELENA CORAZZA;;;;
Setembro;SMUL/GTEC           ;MOOCA                         ;2011.13.702-01;2017-1.000.009-7;APOSTILAMENTO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;01/03/2017;025.045.0047-5;S2.1;;Z4-020.;BRAS;;LYBIA MECONI AREIAS SAMMARONE;510,48;AV  CELSO GARCIA 279 283, 287;05/09/2017;;;;;
Setembro;SMUL/GTEC           ;PARELHEIROS                   ;2017.16.742-00;2003-1.021.704-7;AUTO DE REGULARIZACAO LEI N:13.558/2003;22/09/2003;274.021.0002-0;E2.1;;Z9-040.;JARDIM DOS ALAMOS;;INSTITUTO CRIANÇA CIDADÃ;4.749,00;R   JOSE VILA BUSQUETS 80 ;04/09/2017;;;;;
Setembro;SMUL/GTEC           ;PENHA                         ;2017.17.099-00;2003-1.019.997-9;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;19/09/2003;110.132.0010-0;R201;;Z2.;VL FRANCI;;VAGNER BRINO;176,00;R   AMALIA FIGUEIROA 000040 60;12/09/2017;;;;;
Setembro;SMUL/GTEC           ;PINHEIROS                     ;2017.16.966-00;2003-1.063.101-3;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;24/11/2003;083.124.0102-4;R301;;Z2.;JARDIM EUROPA;;CONDOMINIO EDIFICIO MULHOUSE;620,70;R   HUNGRIA 00424 442 AP. 11-1.A.;06/09/2017;CHRISTINE DE TOLEDO CALABRO;;;;
Setembro;SMUL/GTEC           ;SANTANA/ TUCURUVI              ;2017.16.957-00;2003-1.047.150-4;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;18/11/2003;069.027.0005-2;"C2.6; C2.2; I1";;Z2.;TUCURUVI;;HAGOP SIMONIAN NETO;989,15;AV  NOVA CANTAREIRA 01182 1186;06/09/2017;;;;;
Setembro;SMUL/GTEC           ;SANTANA/ TUCURUVI              ;2017.18.383-00;2003-1.045.489-8;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;17/11/2003;072.080.0076-1;C2.3;;Z2.;SANTA TERESINHA;;ITALO AMADIO;1.000,00;AL  AFONSO SCHMIDT 877 ;28/09/2017;DOMINGOS ANTONIO PETILLO;;DOMINGOS ANTONIO PETILLO;;
Setembro;SMUL/GTEC           ;SANTO AMARO                   ;2017.18.143-00;2003-1.031.475-1;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;29/09/2003;086.252.0010-9;"C2.3; S2.1";;Z4-063.;V. CONGONHAS;;EMMANUEL MICHEL KARALLA;351,77;R   BARAO DE GOIANIA 000076 ;26/09/2017;PEDRO HENRIQUE SAMPAIO SGAMBATTI;;;;
Setembro;SMUL/GTEC           ;SANTO AMARO                   ;2017.18.144-00;2004-1.003.007-0;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;27/10/2004;085.340.0029-8;"C3.5; S1.1";;Z3-206.;VILA SO FRANCISCO;;MIGUEL TOSHIO UMAKOSHI E OUTRO;350,00;R   ENGO MESQUITA SAMPAIO 00054 56;26/09/2017;MARIO HIDEKI SAIJO;;;;
